user_id,recognition,routes,speech,summary,total
4095636233,5,5,4,5,5
834571270,5,5,5,4,5
5141658555,3,4,5,4,4
5282297866,5,3,5,5,5
5221981091,5,4,4,3,4
4095636233,5,2,4,5,3
1058367992,4,3,4,3,5
3755787318,5,5,4,5,5
1831518545,3,4,5,5,3
7844824817,5,5,5,4,4
757999706,4,5,4,5,5
5752057899,5,4,5,4,5
2632637872,5,3,4,5,5
4085880593,5,3,4,2,4
4626267897,5,4,4,5,5
6122884802,5,4,5,5,5
5359626415,1,4,4,5,4
5305835187,5,4,4,5,5
2162805395,5,3,4,5,3
2975440972,5,5,4,5,5
6426141794,5,4,4,5,5
5418892818,5,4,4,5,5
3005309889,5,4,3,5,4
1621248155,5,4,4,4,4
784200039,1,3,3,5,3
3470752992,5,3,5,4,5
1977173925,5,5,5,5,5
3133728772,3,3,3,3,3
4535408137,5,4,4,4,4
651964126,5,4,4,5,5
1946175840,4,4,5,5,5
4927847991,5,5,5,5,5
6460981744,5,4,4,2,4
3879698538,5,4,4,5,5
2993474705,3,4,4,5,5
2121785958,5,5,4,5,5
1218625121,5,5,1,5,4
836052293,5,5,5,4,4
466243233,5,3,3,5,5
2337886985,5,5,5,4,5
6399870986,3,5,4,3,5
2978414907,4,5,4,5,3
5117864592,5,5,5,5,5
7095586753,5,4,1,4,2
5943952391,1,3,5,5,5
6026603345,4,5,5,4,5
1916239464,5,5,5,4,4
7759872673,5,5,3,5,5
2714876127,4,4,4,5,5
1361676092,5,3,4,5,5
2340091920,5,5,5,5,5
3314882678,4,3,5,4,4
4961206172,5,4,4,5,5
1276484350,4,5,4,4,5
963088821,5,4,5,4,4
689253482,5,5,4,3,4
1076768312,5,4,3,5,4
5744936079,4,5,1,5,3
660382467,5,5,5,5,5
2159324460,5,4,3,5,5
5760210538,5,3,5,4,4
3015991576,4,5,3,5,4
1435625892,5,4,3,4,4
1003602201,5,4,5,4,4
7747657283,5,4,1,5,1
4844047637,3,5,4,5,5
1655277693,5,5,4,4,5
2054304510,5,5,3,5,5
1254806422,5,5,4,5,4
774459029,5,5,3,5,4
889603790,5,4,5,5,5
2308098158,3,4,5,3,4
7761458269,5,5,5,5,5
4159473427,5,5,5,4,5
2485565643,5,5,4,5,5
5980827444,5,5,2,4,5
5655368141,5,5,4,2,5
1421393128,4,5,4,5,5
7092724106,4,4,4,5,4
1697417280,5,3,4,5,4
5927078243,5,4,4,5,5
2689980854,5,5,4,5,5
2011569404,5,5,5,5,5
3688699611,5,5,1,5,5
4590160710,4,5,4,4,5
468636530,5,4,3,5,5
3994418983,5,5,4,4,5
7364848283,5,4,5,4,5
4152031123,5,3,5,5,4
1931543792,5,5,5,3,5
629238111,5,5,4,4,5
7384954247,4,3,5,4,5
1245681205,5,4,5,5,5
4934782214,5,5,4,5,5
5916982954,5,4,4,5,5
7568975644,5,3,5,5,5
6363120905,4,5,4,4,4
2764480213,4,3,3,4,4
3321424352,5,4,4,5,5
